"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Lee,"41,354","41,523","43,241",91,0.4,4.1,153
Leon,"35,271","36,689","40,093",124,4.0,9.3,32
Liberty,"32,740","33,512","34,839",190,2.4,4.0,164
Limestone,"30,533","31,690","33,551",204,3.8,5.9,88
Lipscomb,"45,653","44,302","46,304",66,-3.0,4.5,127
Live Oak,"39,162","42,316","44,484",79,8.1,5.1,107
Llano,"35,753","36,591","39,508",131,2.3,8.0,46
Loving,"29,614","21,961","33,453",208,-25.8,52.3,1
Lubbock,"36,258","36,347","37,644",147,0.2,3.6,193
Lynn,"31,674","42,666","31,026",233,34.7,-27.3,254
McCulloch,"40,200","41,483","42,574",94,3.2,2.6,218
McLennan,"34,009","34,098","35,467",182,0.3,4.0,158
McMullen,"64,125","70,381","71,176",5,9.8,1.1,231
Madison,"27,377","28,879","31,177",230,5.5,8.0,47
Marion,"31,327","32,530","34,591",193,3.8,6.3,77
Martin,"46,083","49,831","49,193",49,8.1,-1.3,237
Mason,"35,255","36,675","39,689",129,4.0,8.2,44
Matagorda,"34,696","36,133","37,324",152,4.1,3.3,201
Maverick,"23,824","24,330","25,490",248,2.1,4.8,118
Medina,"33,265","34,203","35,478",180,2.8,3.7,179
Menard,"28,899","31,115","33,538",206,7.7,7.8,49
Midland,"91,441","90,194","96,463",2,-1.4,7.0,59
Milam,"34,629","35,727","37,276",154,3.2,4.3,137
Mills,"32,331","32,662","35,472",181,1.0,8.6,39
Mitchell,"29,106","32,242","31,964",224,10.8,-0.9,235
Montague,"44,838","46,094","49,513",47,2.8,7.4,54
Montgomery,"53,551","53,836","55,849",24,0.5,3.7,178
Moore,"34,001","33,928","37,604",148,-0.2,10.8,28
Morris,"36,995","36,983","37,831",145,0.0,2.3,224
Motley,"28,745","34,355","36,247",169,19.5,5.5,97
Nacogdoches,"30,125","30,543","32,337",221,1.4,5.9,87
Navarro,"34,461","33,843","35,276",184,-1.8,4.2,145
Newton,"26,129","26,934","28,802",240,3.1,6.9,61
Nolan,"34,732","35,022","36,501",162,0.8,4.2,146
Nueces,"40,769","40,807","42,439",96,0.1,4.0,161
Ochiltree,"54,289","53,138","60,573",14,-2.1,14.0,16
Oldham,"44,332","40,451","50,645",41,-8.8,25.2,4
Orange,"38,024","37,452","39,933",127,-1.5,6.6,70
Palo Pinto,"35,520","35,008","36,560",161,-1.4,4.4,133
Panola,"40,371","41,768","44,173",81,3.5,5.8,92
Parker,"45,214","46,437","48,118",51,2.7,3.6,189
Parmer,"39,264","39,284","46,800",63,0.1,19.1,8
Pecos,"30,483","30,376","32,710",216,-0.4,7.7,51
Polk,"35,636","35,102","36,102",173,-1.5,2.8,212
Potter,"38,032","38,678","40,706",113,1.7,5.2,104
Presidio,"30,218","33,064","32,614",218,9.4,-1.4,238
Rains,"30,140","30,260","31,775",227,0.4,5.0,110
Randall,"39,985","39,879","41,938",101,-0.3,5.2,105
Reagan,"57,192","56,614","59,221",17,-1.0,4.6,124
Real,"25,289","27,167","27,896",243,7.4,2.7,217
Red River,"32,534","32,582","35,219",185,0.1,8.1,45
Reeves,"23,626","24,999","27,247",245,5.8,9.0,35
Refugio,"42,310","43,472","45,306",73,2.7,4.2,147
Roberts,"41,663","42,762","45,578",70,2.6,6.6,71
Robertson,"39,506","42,045","44,251",80,6.4,5.2,103
Rockwall,"48,157","48,688","50,460",42,1.1,3.6,188
Runnels,"33,318","36,018","36,152",170,8.1,0.4,232
Rusk,"32,748","34,142","35,633",179,4.3,4.4,136
Sabine,"33,537","32,732","34,318",195,-2.4,4.8,115
San Augustine,"30,385","30,379","32,516",219,0.0,7.0,57
San Jacinto,"29,491","29,966","31,607",229,1.6,5.5,98
San Patricio,"37,442","37,720","38,920",140,0.7,3.2,205
San Saba,"28,746","31,793","34,718",192,10.6,9.2,33
Schleicher,"35,486","39,468","44,732",77,11.2,13.3,17
Scurry,"49,005","49,928","51,998",37,1.9,4.1,152
Shackelford,"84,169","89,357","97,227",1,6.2,8.8,38
Shelby,"35,496","36,248","40,083",125,2.1,10.6,30
Sherman,"57,913","51,592","65,049",11,-10.9,26.1,3
Smith,"41,133","41,637","43,249",90,1.2,3.9,169
Somervell,"38,360","39,488","40,991",108,2.9,3.8,175
Starr,"21,927","22,268","23,215",254,1.6,4.3,144
Stephens,"50,289","50,279","53,179",31,0.0,5.8,91
Sterling,"52,022","52,626","53,564",30,1.2,1.8,226
Stonewall,"42,146","45,998","52,132",35,9.1,13.3,18
Sutton,"55,967","58,906","66,362",8,5.3,12.7,20
Swisher,"34,220","34,868","41,310",106,1.9,18.5,9
Tarrant,"44,655","44,389","46,169",67,-0.6,4.0,160
Taylor,"39,892","40,499","42,318",97,1.5,4.5,131
Terrell,"43,191","52,245","55,079",25,21.0,5.4,99
Terry,"33,112","36,960","33,826",201,11.6,-8.5,249
Throckmorton,"47,274","46,959","51,935",38,-0.7,10.6,29
Titus,"28,849","29,271","31,171",231,1.5,6.5,72
Tom Green,"39,856","40,606","42,114",99,1.9,3.7,181
Travis,"52,285","52,256","54,145",28,-0.1,3.6,190
Trinity,"29,462","30,399","31,769",228,3.2,4.5,129
Tyler,"28,271","28,642","30,191",236,1.3,5.4,100
Upshur,"33,500","34,055","35,427",183,1.7,4.0,157
Upton,"50,319","55,627","60,551",15,10.5,8.9,37
Uvalde,"34,117","33,186","34,086",197,-2.7,2.7,216
Val Verde,"31,866","31,553","33,017",213,-1.0,4.6,123
Van Zandt,"31,481","32,212","33,402",209,2.3,3.7,184
Victoria,"44,007","44,996","47,419",57,2.2,5.4,101
Walker,"23,704","24,448","25,534",247,3.1,4.4,132
Waller,"32,094","33,051","34,078",198,3.0,3.1,206
Ward,"45,828","45,061","48,094",52,-1.7,6.7,66
Washington,"48,395","47,057","49,365",48,-2.8,4.9,112
Webb,"27,159","27,477","28,355",242,1.2,3.2,204
Wharton,"38,396","39,872","40,869",110,3.8,2.5,221
Wheeler,"48,087","46,931","52,127",36,-2.4,11.1,27
Wichita,"40,009","39,219","40,593",115,-2.0,3.5,197
Wilbarger,"37,676","37,737","39,075",137,0.2,3.5,195
Willacy,"22,215","22,228","25,480",249,0.1,14.6,14
Williamson,"37,134","37,509","38,938",139,1.0,3.8,173
Wilson,"36,745","37,812","39,301",134,2.9,3.9,167
Winkler,"36,701","37,773","40,441",121,2.9,7.1,56
Wise,"40,102","40,212","42,087",100,0.3,4.7,122
Wood,"30,984","31,802","33,703",202,2.6,6.0,85
Yoakum,"46,185","45,080","44,554",78,-2.4,-1.2,236
Young,"47,201","48,630","51,473",39,3.0,5.8,90
Zapata,"30,242","30,911","32,037",223,2.2,3.6,187
Zavala,"21,930","22,983","23,952",251,4.8,4.2,149
,,,,,,,
Utah,"35,995","36,542","37,664",--,1.5,3.1,--
Beaver,"30,332","35,436","36,622",10,16.8,3.3,14
Box Elder,"30,185","31,084","32,208",18,3.0,3.6,10
Cache,"29,376","29,341","30,428",21,-0.1,3.7,9
Carbon,"32,324","32,726","33,837",14,1.2,3.4,13
Daggett,"46,520","49,335","50,523",2,6.1,2.4,24
Davis,"37,559","37,702","38,770",8,0.4,2.8,22
Duchesne,"38,370","37,768","39,574",6,-1.6,4.8,5
Emery,"28,776","29,608","30,676",20,2.9,3.6,11
Garfield,"30,147","31,637","32,829",15,4.9,3.8,8
Grand,"37,645","39,809","40,844",5,5.7,2.6,23
Iron,"24,737","25,583","26,774",26,3.4,4.7,6
Juab,"27,225","28,589","29,871",23,5.0,4.5,7
Kane,"32,849","33,024","34,943",11,0.5,5.8,3
Millard,"29,459","32,030","32,608",16,8.7,1.8,28
Morgan,"41,160","42,187","43,111",3,2.5,2.2,26
Piute,"23,014","24,142","25,456",28,4.9,5.4,4
Rich,"31,111","36,281","39,190",7,16.6,8.0,2
Salt Lake,"40,623","41,269","42,535",4,1.6,3.1,18
San Juan,"21,875","24,021","23,244",29,9.8,-3.2,29
Sanpete,"24,045","24,677","25,458",27,2.6,3.2,16
Sevier,"27,974","28,807","29,793",24,3.0,3.4,12
Summit,"91,982","94,077","96,766",1,2.3,2.9,21
Tooele,"30,555","30,507","31,398",19,-0.2,2.9,20
Uintah,"34,843","34,011","34,629",13,-2.4,1.8,27
Utah,"30,875","31,272","32,274",17,1.3,3.2,15
Wasatch,"36,362","37,745","38,624",9,3.8,2.3,25
Washington,"28,076","28,809","29,659",25,2.6,3.0,19
Wayne,"26,696","27,777","30,208",22,4.0,8.8,1
Weber,"33,335","33,873","34,938",12,1.6,3.1,17
,,,,,,,
Vermont,"44,287","44,839","46,428",--,1.2,3.5,--
Addison,"41,221","42,242","44,016",9,2.5,4.2,6
Bennington,"43,885","44,025","45,874",5,0.3,4.2,5
Caledonia,"35,926","35,955","37,471",13,0.1,4.2,4
Chittenden,"50,293","50,563","51,871",1,0.5,2.6,14
Essex,"31,717","33,361","34,424",14,5.2,3.2,12
Franklin,"38,855","39,753","41,578",10,2.3,4.6,3
Grand Isle,"48,655","48,235","49,865",2,-0.9,3.4,11
Lamoille,"43,595","43,598","45,314",7,0.0,3.9,7
Orange,"38,188","38,966","40,861",11,2.0,4.9,1
Orleans,"37,927","38,314","40,163",12,1.0,4.8,2
Rutland,"43,193","44,357","45,726",6,2.7,3.1,13
Washington,"46,460","47,408","49,043",3,2.0,3.4,10
Windham,"42,123","42,661","44,145",8,1.3,3.5,9
Windsor,"46,847","47,171","49,010",4,0.7,3.9,8
,,,,,,,
Virginia,"49,320","48,956","50,345",--,-0.7,2.8,--
Accomack,"35,342","35,940","36,960",59,1.7,2.8,53
Amelia,"37,967","39,397","40,376",41,3.8,2.5,70
Amherst,"31,695","31,672","32,869",84,-0.1,3.8,22
Appomattox,"32,319","32,612","33,553",76,0.9,2.9,50
Arlington,"81,684","81,006","83,170",2,-0.8,2.7,64
Bath,"45,370","44,440","46,363",25,-2.0,4.3,11
Bedford,"39,625","40,069","41,307",38,1.1,3.1,42
Bland,"30,251","30,595","31,664",87,1.1,3.5,32
Botetourt,"42,838","43,711","45,055",30,2.0,3.1,44
Brunswick,"28,360","29,496","30,932",91,4.0,4.9,5
Buchanan,"37,097","34,835","35,459",65,-6.1,1.8,92
Buckingham,"26,412","26,780","28,038",102,1.4,4.7,8
Caroline,"36,847","37,076","37,600",57,0.6,1.4,98
Charles City,"37,903","38,769","39,938",43,2.3,3.0,45
Charlotte,"29,273","30,158","30,915",92,3.0,2.5,67
Chesterfield,"46,137","46,192","47,481",21,0.1,2.8,56
Clarke,"52,010","52,774","54,203",10,1.5,2.7,63
Craig,"32,475","33,034","33,756",74,1.7,2.2,85
Culpeper,"38,872","38,937","39,847",44,0.2,2.3,78
Cumberland,"30,419","31,177","32,369",86,2.5,3.8,21
Dickenson,"28,512","27,747","28,182",101,-2.7,1.6,96
Essex,"36,045","37,079","37,669",56,2.9,1.6,95
Fauquier,"61,277","60,507","61,982",6,-1.3,2.4,71
Floyd,"32,509","32,156","33,330",78,-1.1,3.7,27
Fluvanna,"35,183","35,641","37,095",58,1.3,4.1,16
Franklin,"33,314","33,356","34,586",70,0.1,3.7,25
Giles,"33,276","33,629","34,874",66,1.1,3.7,24
Gloucester,"42,553","42,526","43,704",33,-0.1,2.8,59
Goochland,"87,662","83,467","85,363",1,-4.8,2.3,81
Grayson,"27,824","28,254","29,657",97,1.5,5.0,4
Greene,"35,280","35,363","36,873",60,0.2,4.3,13
Halifax,"31,162","31,851","32,970",83,2.2,3.5,31
Hanover,"49,437","49,778","51,194",12,0.7,2.8,52
Henrico,"48,545","48,467","49,814",15,-0.2,2.8,58
Highland,"40,326","42,576","44,403",32,5.6,4.3,12
Isle of Wight,"48,285","48,490","49,471",17,0.4,2.0,87
King and Queen,"34,885","36,284","36,571",62,4.0,0.8,105
King George,"46,277","46,121","47,244",22,-0.3,2.4,72
King William,"38,866","39,058","39,726",45,0.5,1.7,93
Lancaster,"47,659","48,421","49,233",18,1.6,1.7,94
Lee,"27,328","26,922","27,137",104,-1.5,0.8,104
Loudoun,"67,628","66,062","67,384",5,-2.3,2.0,89
Louisa,"44,355","44,357","46,478",24,0.0,4.8,6
Lunenburg,"27,962","28,563","30,194",96,2.1,5.7,1
Madison,"38,365","39,929","41,194",39,4.1,3.2,40
Mathews,"48,547","48,637","50,657",14,0.2,4.2,15
Mecklenburg,"31,876","32,126","33,158",82,0.8,3.2,38
Middlesex,"40,803","41,448","42,417",36,1.6,2.3,77
Nelson,"40,010","40,828","42,403",37,2.0,3.9,20
New Kent,"45,599","48,715","49,814",15,6.8,2.3,83
Northampton,"35,205","35,289","35,987",64,0.2,2.0,91
Northumberland,"40,663","40,741","42,435",35,0.2,4.2,14
Nottoway,"32,608","33,138","34,170",72,1.6,3.1,41
Orange,"38,551","38,821","39,190",48,0.7,1.0,101
Page,"32,260","32,930","34,140",73,2.1,3.7,26
Patrick,"27,833","27,936","29,257",99,0.4,4.7,7
Powhatan,"43,558","43,779","45,182",29,0.5,3.2,39
Prince Edward,"25,158","26,198","26,793",105,4.1,2.3,82
Pulaski,"33,335","33,454","34,747",69,0.4,3.9,19
Rappahannock,"54,114","54,570","56,736",9,0.8,4.0,17
Richmond,"29,135","30,185","30,872",93,3.6,2.3,80
Russell,"30,709","30,107","30,705",94,-2.0,2.0,90
Scott,"28,676","28,400","29,347",98,-1.0,3.3,36
Shenandoah,"36,361","36,627","37,896",55,0.7,3.5,33
Smyth,"29,619","29,884","31,425",90,0.9,5.2,2
Stafford,"47,532","47,240","48,414",19,-0.6,2.5,69
Surry,"37,376","38,275","38,596",50,2.4,0.8,103
Sussex,"27,057","27,203","27,597",103,0.5,1.4,97
Tazewell,"33,588","32,494","33,174",81,-3.3,2.1,86
Warren,"39,577","39,179","40,118",42,-1.0,2.4,74
Westmoreland,"36,790","37,461","38,508",53,1.8,2.8,55
Wythe,"31,748","31,773","33,237",79,0.1,4.6,10
Independent cities:,,,,,,,
Alexandria,"76,165","75,146","77,142",3,-1.3,2.7,65
Chesapeake,"44,506","44,550","45,616",26,0.1,2.4,75
Hampton,"38,238","38,580","39,707",46,0.9,2.9,48
Newport News,"37,625","37,612","38,509",52,0.0,2.4,76
Norfolk,"37,244","37,447","38,463",54,0.5,2.7,62
Portsmouth,"37,594","37,799","38,836",49,0.5,2.7,61
Richmond,"47,975","45,869","46,794",23,-4.4,2.0,88
Roanoke,"39,100","38,453","39,385",47,-1.7,2.4,73
Suffolk,"44,747","44,357","45,390",28,-0.9,2.3,79
Virginia Beach,"50,297","49,739","51,161",13,-1.1,2.9,51
Combination areas3:,,,,,,,
Albemarle + Charlottesville,"56,979","56,851","58,603",7,-0.2,3.1,43
Alleghany + Covington,"35,820","33,650","34,787",68,-6.1,3.4,34
"Augusta, Staunton + Waynesboro","37,041","37,466","38,579",51,1.1,3.0,46
Campbell + Lynchburg,"33,827","33,609","34,450",71,-0.6,2.5,68
Carroll + Galax,"29,858","29,931","31,465",89,0.2,5.1,3
"Dinwiddie, Colonial Heights + Petersburg","36,470","36,461","36,787",61,0.0,0.9,102
"Fairfax, Fairfax City + Falls Church","74,501","72,867","75,007",4,-2.2,2.9,47
Frederick + Winchester,"41,786","41,545","42,701",34,-0.6,2.8,57
Greensville + Emporia,"28,773","29,122","30,476",95,1.2,4.6,9
Henry + Martinsville,"32,180","32,238","33,439",77,0.2,3.7,23
James City + Williamsburg,"55,639","56,208","57,465",8,1.0,2.2,84
Montgomery + Radford,"30,526","30,488","31,569",88,-0.1,3.5,30
Pittsylvania + Danville,"31,149","31,588","32,716",85,1.4,3.6,29
Prince George + Hopewell,"35,002","35,285","36,423",63,0.8,3.2,37
"Prince William, Manassas + Manassas Park","47,528","46,802","48,020",20,-1.5,2.6,66
Roanoke + Salem,"45,131","44,322","45,577",27,-1.8,2.8,54
"Rockbridge, Buena Vista + Lexington","33,353","33,524","34,836",67,0.5,3.9,18
Rockingham + Harrisonburg,"32,069","32,614","33,703",75,1.7,3.3,35
Southampton + Franklin,"33,198","32,880","33,229",80,-1.0,1.1,100
Spotsylvania + Fredericksburg,"43,949","43,502","44,698",31,-1.0,2.7,60
Washington + Bristol,"39,118","39,149","40,556",40,0.1,3.6,28
Wise + Norton,"30,622","28,446","28,789",100,-7.1,1.2,99
York + Poquoson,"52,015","52,128","53,646",11,0.2,2.9,49
,,,,,,,
Washington,"47,344","47,468","49,610",--,0.3,4.5,--
Adams,"37,385","37,407","37,405",27,0.1,0.0,38
Asotin,"37,836","37,749","39,503",18,-0.2,4.6,20
Benton,"40,652","40,039","40,956",15,-1.5,2.3,32
Chelan,"40,410","40,663","42,754",12,0.6,5.1,12
Clallam,"37,793","37,832","39,416",20,0.1,4.2,25
Clark,"41,508","41,411","43,153",9,-0.2,4.2,24
Columbia,"40,717","41,894","42,568",13,2.9,1.6,35
Cowlitz,"35,860","36,365","38,135",23,1.4,4.9,14
Douglas,"32,046","32,184","33,279",36,0.4,3.4,29
Ferry,"28,620","28,850","30,680",39,0.8,6.3,4
Franklin,"30,704","30,196","31,228",38,-1.7,3.4,28
Garfield,"40,697","39,270","39,436",19,-3.5,0.4,36
Grant,"33,455","33,715","34,438",32,0.8,2.1,34
Grays Harbor,"32,280","32,185","34,326",33,-0.3,6.7,1
Island,"42,640","44,482","46,608",3,4.3,4.8,16
Jefferson,"41,935","41,520","43,311",8,-1.0,4.3,23
King,"66,138","65,990","68,877",1,-0.2,4.4,22
Kitsap,"43,956","44,215","46,573",4,0.6,5.3,10
Kittitas,"36,388","36,922","37,761",24,1.5,2.3,33
Klickitat,"44,355","43,608","45,594",5,-1.7,4.6,21
Lewis,"33,685","34,044","36,276",29,1.1,6.6,2
Lincoln,"39,672","43,199","41,877",14,8.9,-3.1,39
Mason,"33,779","33,814","35,732",30,0.1,5.7,7
Okanogan,"35,131","35,482","37,562",26,1.0,5.9,6
Pacific,"36,541","37,422","39,374",21,2.4,5.2,11
Pend Oreille,"31,606","31,800","33,530",35,0.6,5.4,9
Pierce,"41,171","41,617","43,613",7,1.1,4.8,15
San Juan,"57,965","57,650","59,831",2,-0.5,3.8,27
Skagit,"40,701","40,904","42,829",11,0.5,4.7,18
Skamania,"36,456","35,279","36,999",28,-3.2,4.9,13
Snohomish,"42,818","42,916","44,967",6,0.2,4.8,17
Spokane,"37,488","37,526","39,067",22,0.1,4.1,26
Stevens,"30,780","31,330","33,088",37,1.8,5.6,8
Thurston,"41,047","41,071","42,994",10,0.1,4.7,19
Wahkiakum,"32,730","33,492","35,534",31,2.3,6.1,5
Walla Walla,"37,775","38,421","39,648",17,1.7,3.2,31
Whatcom,"39,507","39,572","40,840",16,0.2,3.2,30
Whitman,"33,480","33,839","33,883",34,1.1,0.1,37
Yakima,"35,679","35,380","37,630",25,-0.8,6.4,3
,,,,,,,
West Virginia,"35,374","35,163","36,132",--,-0.6,2.8,--
Barbour,"28,579","28,719","29,702",41,0.5,3.4,17
Berkeley,"35,300","35,042","35,836",15,-0.7,2.3,39
Boone,"32,304","30,751","31,526",32,-4.8,2.5,35
Braxton,"28,666","28,006","28,315",47,-2.3,1.1,51
Brooke,"34,511","34,892","36,225",13,1.1,3.8,12
Cabell,"36,657","36,585","37,481",10,-0.2,2.4,36
Calhoun,"26,517","26,501","28,424",46,-0.1,7.3,1
Clay,"27,367","26,559","27,555",48,-3.0,3.8,13
Doddridge,"20,401","20,949","20,757",55,2.7,-0.9,54
Fayette,"30,356","29,925","30,314",37,-1.4,1.3,48
Gilmer,"23,963","25,111","26,457",54,4.8,5.4,3
Grant,"30,003","30,448","31,789",31,1.5,4.4,10
Greenbrier,"33,390","33,869","34,966",18,1.4,3.2,20
Hampshire,"28,704","29,236","29,944",38,1.9,2.4,37
Hancock,"34,418","34,778","35,814",16,1.0,3.0,25
Hardy,"26,640","27,745","28,548",45,4.1,2.9,26
Harrison,"41,131","41,235","43,048",4,0.3,4.4,11
Jackson,"32,237","32,729","33,560",22,1.5,2.5,32
Jefferson,"43,530","43,150","44,160",2,-0.9,2.3,38
Kanawha,"43,194","42,713","44,039",3,-1.1,3.1,23
Lewis,"35,032","35,555","36,695",12,1.5,3.2,21
Lincoln,"27,039","26,392","27,096",49,-2.4,2.7,30
Logan,"33,530","32,569","33,446",24,-2.9,2.7,29
McDowell,"27,618","27,234","27,024",50,-1.4,-0.8,53
Marion,"37,779","37,798","38,756",8,0.1,2.5,33
Marshall,"37,447","37,731","40,005",7,0.8,6.0,2
Mason,"28,433","28,210","28,654",43,-0.8,1.6,43
Mercer,"33,635","33,137","33,542",23,-1.5,1.2,50
Mineral,"33,656","34,330","35,599",17,2.0,3.7,15
Mingo,"34,992","31,761","29,896",39,-9.2,-5.9,55
Monongalia,"39,525","39,276","40,343",6,-0.6,2.7,28
Monroe,"27,046","27,556","28,577",44,1.9,3.7,14
Morgan,"31,301","31,219","32,212",28,-0.3,3.2,22
Nicholas,"33,134","31,712","32,557",27,-4.3,2.7,31
Ohio,"42,118","42,655","44,621",1,1.3,4.6,8
Pendleton,"32,116","33,386","34,519",19,4.0,3.4,18
Pleasants,"36,171","36,831","38,707",9,1.8,5.1,6
Pocahontas,"31,472","32,052","33,690",21,1.8,5.1,5
Preston,"31,569","31,906","32,802",25,1.1,2.8,27
Putnam,"40,778","40,406","41,160",5,-0.9,1.9,40
Raleigh,"37,905","35,692","36,180",14,-5.8,1.4,46
Randolph,"31,518","31,231","32,022",29,-0.9,2.5,34
Ritchie,"29,458","29,785","31,314",34,1.1,5.1,4
Roane,"30,276","30,154","30,672",36,-0.4,1.7,41
Summers,"25,976","26,340","26,714",52,1.4,1.4,45
Taylor,"31,527","33,373","34,375",20,5.9,3.0,24
Tucker,"30,168","30,281","31,818",30,0.4,5.1,7
Tyler,"30,100","30,932","31,415",33,2.8,1.6,44
Upshur,"30,982","30,689","31,182",35,-0.9,1.6,42
Wayne,"28,522","28,824","29,767",40,1.1,3.3,19
Webster,"26,824","26,332","26,692",53,-1.8,1.4,47
Wetzel,"30,735","31,582","32,672",26,2.8,3.5,16
Wirt,"24,737","26,558","26,888",51,7.4,1.2,49
Wood,"35,579","35,518","37,104",11,-0.2,4.5,9
Wyoming,"29,569","28,835","28,962",42,-2.5,0.4,52
,,,,,,,
Wisconsin,"42,463","42,737","44,186",--,0.6,3.4,--
Adams,"36,053","36,816","38,097",55,2.1,3.5,41
Ashland,"33,177","33,549","34,292",69,1.1,2.2,65
Barron,"42,517","41,459","43,948",13,-2.5,6.0,4
Bayfield,"38,661","38,577","39,945",40,-0.2,3.5,39
Brown,"44,005","44,256","45,704",8,0.6,3.3,45
Buffalo,"43,488","42,897","44,893",11,-1.4,4.7,20
Burnett,"35,908","36,779","37,966",57,2.4,3.2,49
Calumet,"41,561","42,380","44,305",12,2.0,4.5,24
Chippewa,"38,959","38,974","40,924",32,0.0,5.0,14
Clark,"33,814","34,206","36,917",59,1.2,7.9,1
Columbia,"42,425","42,739","43,393",16,0.7,1.5,69
Crawford,"33,604","35,591","37,047",58,5.9,4.1,33
Dane,"49,265","50,559","51,523",3,2.6,1.9,66
Dodge,"38,180","38,556","39,816",41,1.0,3.3,46
Door,"47,649","48,713","50,276",4,2.2,3.2,50
Douglas,"34,522","35,202","36,697",61,2.0,4.2,31
Dunn,"33,660","33,830","35,640",65,0.5,5.4,10
Eau Claire,"40,621","40,994","42,818",19,0.9,4.4,28
Florence,"38,255","38,322","40,094",39,0.2,4.6,22
Fond du Lac,"40,285","40,629","42,434",22,0.9,4.4,29
Forest,"32,794","33,179","34,585",68,1.2,4.2,32
Grant,"36,457","37,834","38,237",54,3.8,1.1,70
Green,"42,847","42,592","43,254",17,-0.6,1.6,68
Green Lake,"43,611","42,367","43,544",15,-2.9,2.8,60
Iowa,"39,622","41,058","42,374",23,3.6,3.2,51
Iron,"43,315","44,795","46,905",6,3.4,4.7,18
Jackson,"39,017","39,008","40,994",31,0.0,5.1,13
Jefferson,"37,806","38,167","39,495",47,1.0,3.5,42
Juneau,"34,885","34,676","36,256",63,-0.6,4.6,23
Kenosha,"37,898","38,545","39,748",43,1.7,3.1,56
Kewaunee,"38,522","39,722","42,152",25,3.1,6.1,3
La Crosse,"41,193","40,976","42,314",24,-0.5,3.3,47
Lafayette,"37,360","43,848","41,818",26,17.4,-4.6,72
Langlade,"37,559","37,855","39,355",49,0.8,4.0,38
Lincoln,"36,715","36,724","38,486",53,0.0,4.8,16
Manitowoc,"40,611","40,383","42,519",20,-0.6,5.3,11
Marathon,"40,433","40,828","42,941",18,1.0,5.2,12
Marinette,"37,454","37,910","39,593",45,1.2,4.4,30
Marquette,"32,952","34,332","35,432",67,4.2,3.2,52
Menominee,"25,348","25,955","25,919",72,2.4,-0.1,71
Milwaukee,"40,644","40,219","41,507",27,-1.0,3.2,53
Monroe,"34,511","34,696","36,074",64,0.5,4.0,36
Oconto,"37,667","38,841","39,713",44,3.1,2.2,63
Oneida,"42,739","43,343","45,061",10,1.4,4.0,37
Outagamie,"41,825","42,353","43,665",14,1.3,3.1,57
Ozaukee,"68,323","68,919","71,126",1,0.9,3.2,54
Pepin,"38,944","39,245","41,395",29,0.8,5.5,7
Pierce,"38,003","38,392","40,129",38,1.0,4.5,26
Polk,"37,590","37,747","39,807",42,0.4,5.5,8
Portage,"37,032","38,003","39,519",46,2.6,4.0,35
Price,"37,242","37,418","39,454",48,0.5,5.4,9
Racine,"41,187","40,160","41,398",28,-2.5,3.1,58
Richland,"34,594","35,991","37,994",56,4.0,5.6,6
Rock,"36,844","38,113","38,713",52,3.4,1.6,67
Rusk,"30,952","31,356","33,424",71,1.3,6.6,2
St. Croix,"42,424","43,140","45,139",9,1.7,4.6,21
Sauk,"39,241","39,672","40,745",34,1.1,2.7,61
Sawyer,"37,774","38,298","39,154",51,1.4,2.2,64
Shawano,"34,664","35,494","36,916",60,2.4,4.0,34
Sheboygan,"45,504","44,344","46,328",7,-2.5,4.5,27
Taylor,"31,970","32,775","34,260",70,2.5,4.5,25
Trempealeau,"39,246","39,023","40,910",33,-0.6,4.8,15
Vernon,"33,256","34,344","35,532",66,3.3,3.5,43
Vilas,"39,916","40,113","42,455",21,0.5,5.8,5
Walworth,"38,093","39,375","40,546",35,3.4,3.0,59
Washburn,"38,628","38,968","40,337",37,0.9,3.5,40
Washington,"46,714","47,029","48,564",5,0.7,3.3,48
Waukesha,"59,139","59,077","60,945",2,-0.1,3.2,55
Waupaca,"38,263","39,173","41,031",30,2.4,4.7,17
Waushara,"35,369","35,788","36,693",62,1.2,2.5,62
Winnebago,"39,606","39,155","40,498",36,-1.1,3.4,44
Wood,"37,402","37,456","39,202",50,0.1,4.7,19
,,,,,,,
Wyoming,"52,154","51,791","54,584",--,-0.7,5.4,--
Albany,"36,691","36,647","37,870",22,-0.1,3.3,21
Big Horn,"35,708","35,063","36,508",23,-1.8,4.1,17
Campbell,"46,666","45,837","48,691",11,-1.8,6.2,8
Carbon,"44,634","45,845","48,991",10,2.7,6.9,6
Converse,"46,495","46,590","51,512",7,0.2,10.6,2
Crook,"42,613","42,982","46,529",13,0.9,8.3,5
Fremont,"39,028","39,498","40,970",19,1.2,3.7,19
Goshen,"37,939","38,665","40,640",20,1.9,5.1,13
Hot Springs,"42,605","42,826","45,227",15,0.5,5.6,11
Johnson,"40,685","42,217","46,439",14,3.8,10.0,3
Laramie,"47,733","47,561","49,225",9,-0.4,3.5,20
Lincoln,"38,159","39,061","40,217",21,2.4,3.0,22
Natrona,"56,011","56,547","59,890",2,1.0,5.9,10
Niobrara,"40,115","42,149","49,300",8,5.1,17.0,1
Park,"45,672","45,527","47,625",12,-0.3,4.6,16
Platte,"40,345","41,921","44,713",16,3.9,6.7,7
Sheridan,"54,862","49,715","52,239",5,-9.4,5.1,14
